Western Tanager Piranga ludoviciana
White Ibis Eudocimus albus
White-breasted Nuthatch Sitta carolinensis
White-crowned Sparrow Zonotrichia leucophrys
White-eyed Vireo Vireo griseus
White-faced Ibis Plegadis chihi
White-throated Sparrow Zonotrichia albicollis
White-winged Dove Zenaida asiatica
White-winged Scoter Melanitta deglandi
Whooping Crane Grus americana
Wild Turkey Meleagris gallopavo
Willet Tringa semipalmata
Wilson's Plover Anarhynchus wilsonia
Wilson's Snipe Gallinago delicata
Wilson's Warbler Cardellina pusilla
Winter Wren Troglodytes hiemalis
Wood Duck Aix sponsa
Wood Thrush Hylocichla mustelina
Worm-eating Warbler Helmitheros vermivorum
Yellow-bellied Sapsucker Sphyrapicus varius
Yellow-breasted Chat Icteria virens
Yellow-crowned Night Heron Nyctanassa violacea
Yellow-headed Blackbird Xanthocephalus xanthocephalus
Yellow-rumped Warbler Setophaga coronata
Yellow-throated Vireo Vireo flavifrons
Yellow-throated Warbler Setophaga dominica
